,celltype
GZMK,True
LTB,True
CCR7,True
IL7R,True
TCF7,True
TPT1,True
SELL,True
EEF1A1P5,True
NOSIP,True
CD28,True
B2M,True
TBX21,True
TTC38,True
ITGAM,True
KLRD1,True
ITGB2,True
CCL4,True
FGR,True
CST7,True
CX3CR1,True
PRF1,True
AOAH,True
FCRL6,True
EFHD2,True
S1PR5,True
FCGR3A,True
HLA-B,True
ZNF683,True
ZEB2,True
SPON2,True
GNLY,True
NKG7,True
GZMB,True
GPR56,True
FGFBP2,True
GZMH,True
RPLP2,False
RHOH,False
RPL19,False
KLRB1,False
LAIR2,False
MT-CO3,False
C1orf228,False
RPS18,False
RPS29,False
RPL13,False
RPLP0P6,False
RPLP1,False
RPL4,False
PAX8-AS1,False
MT-ND2,False
RPS28,False
RPL32,False
FAM211A-AS1,False
CAMK4,False
RPS12,False
RPL18A,False
AMICA1,False
PDE4B,False
C1orf162,False
TSPYL2-1,False
RPL4P4,False
PASK,False
DFNB31,False
SATB1,False
RPL3,False
RPS14,False
RPLP0,False
RPSA,False
RPS4X,False
HNRNPA1,False
DGKA,False
SNHG5,False
RPL5,False
RPS19,False
RPL10A,False
RPS8,False
RPL13A,False
TMEM11,False
KLRC4-KLRK1,False
STOM,False
DPP4,False
NSG1,False
LDLRAP1,False
RPS6,False
EEF1A1P6,False
CD300A,False
HOPX,False
RP11-23P13.6,False
KLRG1,False
ITM2A,False
DDX10,False
ALOX5AP,False
SPOCK2,False
CD5,False
MAT2A,False
ARPC2,False
LGALS1,False
HLA-DRB1,False
FCGR3B,False
CD7,False
IL2RB,False
CD63,False
F2R,False
TIGIT,False
BZRAP1,False
